,text
4413,it came quick and is in good quality
4414,Tiene detalles pero luego de eso la pantalla y lo demas vino en buen estado
4415,"Good Phone,  easily activated with Verizon"
4416,I love this phone but was disappointed I had to end u selecting another color than what I originally ordered
4417,Fully unlocked. Great phone. Sound quality not so great but still love this phone
4418,No problems whatsoever!I love it
4419,These phones are fabulous and the seller was amazing! I couldn't be happier!
4420,Got this a month ago and still in love. Best and latest iPhone I’ve had
4421,The battery was bad
4422,I bought this for my girlfriend for Christmas and she went nutz over it! She takes a lot of photos and videos so I knew there’d be enough storage for her to keep all of our memories.
4423,"Purchased the iPhone XR from tech exchangee, received it within 3 days, perfect condition not a scratch, everything works perfect as describe, very nice iPhone and well worth the money, will buy again if needed."
4424,Came in new condition no scratches or dings %100 battery capacity the red is a tad darker than picture but may be my tablet not sure but still a nice color would definitely buy it over
4425,"Shipping was fast, phone is in almost brand new condition. Like you really really need to be looking for any flaws and fame with a screen protector. So far love the phone,"
4426,"I’m so happy about this phone. I was so scared about getting it but it’s so nice. Very very happy. I don’t think that the camera is as good at it could be, but its still very great."
4427,Great experience
4428,neat
4429,This phone was so easy to set up and has a lot more stuff to help out and this is probably the best phone to get
4430,Works great. Love the phone. Worth the buy.
4431,"Me encanto esta nuevecito ni una raya nada y lo recibí antes de tiempo estoy enamorada de mi celular, aparte de que me regalaron un protector para el teléfono"
4432,"The phone came in excellent condition! No dents or scratches:) it came with a generic iPhone charger(works well) and an iPhone box to connect the usb. I’m happy with my purchase, and it’s exactly as advertised! I ordered my phone on a Wednesday and it came Friday morning, super fast standard shipping"
4433,Good
4434,"Perfect condition, definitely would recommend. When I originally got it, it was damaged in shipping but after returning it they sent a replacement and I am overjoyed! Couldn’t be happier with what I received!"
4435,It was brand new with no flaws at all. Even came with a screen protector. No scratches at all. Works great and runs very fast. Will recommend them to anyone who wants to order!!!!
4436,I was not a good phone the speakers and microphone broke within the first month and I ordered black and got red.
4437,Battery life is really bad....
4438,"Phone purchased January 1, 2022 and gained access January 14th, 2022.Phone speaker started malfunction less than a  months. Freezes then restart on random occasions. Phone Jailbreaking not unlocked not to mention only 4 apps download (Utube, tiktok, utube studio & whatsapp) yet still phone says memory full for a 64g.Dialing is also an issue as by dialing 1# it sounds as if your 10 numbers.I would not recommend"
4439,"The phone is practically new!! No scratches, good battery life and everything is working fine !! 20/10"
4440,"I got my phone in December and since I’ve gotten it, the phone call speaker has not worked at all, it’s very quiet. I thought it was a problem with my ears since my previous phone had a similar issue and I didn’t expect a new phone to have a problem, but it’s my fault for not returning the phone at that time. But the phone is disfunctional"
4441,The touch screen has lots of scratches some of them very deep.Over all I give the  phone 3 stars.
4442,"I'm very disappointed, this brand-new looking phone shuts off minutes after taking it off the charge, often times when fully charged! Saving up money to buy a legit phone from Verizon -- I tried to cut costs, but this isn't worth it."
4443,Ordered 2 phones. Worked as soon we put our SIM cards in and turned them on. Nearly perfect!
4444,Hasta ahora funciona muy bien.Sólo tenía algunos rasguños pero sigue funcionando hasta ahora.
4445,The screen had scratches on there but everything works fine .
4446,This phone was absolutely flawless and perfect  Thank you
4447,For the price it’s amazing! Minor scratches in the back but barely noticeable and Battery life at 98% and could put any Carrier. I got it from the seller chubbiestech
4448,good quality i thought i was gonna get scammed but i really liked it
4449,"There was not a single mark on the phone, looked brand new, preformed like brand new, in settings it said the battery was still 100% of when it was new, couldn’t be happier"
4450,"I love my new phone, has to take it to the store to set it up properly but I haven’t been more excited, absolutely love it for its purpose."
4451,"Llego en buen estado  como nuevo , Batería 91% , pantalla táctil excelente recomiendo el vendedor 👍🏻"
4452,"in near perfect condition, almost no sign of use. the boxing was a little generic and not so great in terms of unboxing flavor but that’s the only gripe i have. no problems and its miiiiiiine!Edit: The phone stopped receiving cell service in a week. make sure to get a return or replacement from the NetworkStore as NetworkStore doesn't respect manufacturer repairs."
4453,You would never know that the phone is refurbished looks like it was never used. Takes clear photos and videos. No lag and great battery life.
4454,No scratch’s or scuffs. Good upgrade from iPhone 7. Battery health 92%. Face ID works well.
4455,It works perfectly fine I don’t regret my purchase😊
4456,It has a long battery life and has a good camera.
4457,"Very fast shipment.  Like new condition.  Easy to set up.  Only disappointment was battery at 91%, but it is used."
4458,Received the phone about six days ago and have had absolutely on issues.  It's in perfect condition and has a great battery life. Very happy with my purchase!
4459,"I LOVE IT!!! Works perfect! Battery is PERFECT! Lasts ALL DAY!!!! The phone looked BRAND NEW! No cracks, no scratches, NOTHING! BUY IT!"
4460,"The screen is very very scratched I'm guessing that's why it came with a screen protector on it.  After further inspection, it also has dents and scratches on the edges of the phone and back, and camera. I'm a little surprised that this is Amazon reviewed."
4461,Came in very good condition don’t believe reviews
4462,"I was reluctant about buying a secondhand phone, but luckily It all worked out great. I got the phone in March and haven’t had any issues."
4463,"I live in Yosemite national parks Amazon can be hard sometimes , this came a day late but it was also the day the park shut down so not there fault. Very very happy"
4464,"So far, it’s as good as new. Only had it for a week. Very pleased right now."
4465,"the phone looks like new, not a scratch on it, works perfectly,"
4466,So many reviews said bad things which made me hesitate to but this but it original and not fake I even got it checked and I have had it  for so long and It works great best purchase I have made
4467,Good so far highly recommend!!!
4468,I bought for my younger and she was surprised. I wouldn't purchase this product any other way. Thank you so much for my sisters birthday present.
4469,Great phone.  It came with 93% battery and very few scratches on the body. The screen was great.
4470,"Phone is great, delivery by UPS was not good as it was delivered to my neighbors door( an adjacent apartment)!"
4471,Very vert good thank you
4472,This phone is exactly like brand new. It came to me well packaged and was exactly as described. I honestly have no complaints. You’d never know my phone had been refurbished.
4473,Very nice no cracks or scratches would buy again!
4474,So far so good! I was very nervous to purchase but so far it seems good!
4475,"Excellent quality. Looks like, acts like new."
4476,"Ordered the 128gb blue couple days ago and I would say it is an excellent phone, work great without any problem so far. Will update if anything bad happens but so far I will give this a 5s"
4477,"The phone had optimal conditions. It seemed that it had never been used. With a 99 battery life, good sound and in perfect condition. The signal works perfect in the Dominican Republic, don't think about it, it's safe!"
4478,"I was skeptical about this purchase, but the phone is PERFECT!! Fully unlocked for ANY carrier, so far no battery life issues, Face ID works perfectly, even inside of other apps. I’m very happy with my purchase😁"
4479,Great phone. Love the color
4480,Impressed! 93% battery life and no cracks etc. fast shipping as well
4481,Lovely
4482,Came as it was described online
4483,Phone works like new. Would definitely purchase from this seller again.
4484,"Excellent product condition. It can in a nice box. Charger, cover. Really good."
4485,It came fast I have no problems no scratches and no dents phone look new I will order from them again
4486,So far so good. We got it turned on about a week ago. Everything seems to be working great.
4487,"Bought this phone for my granddaughter, this is the first things she checked, the above things all checked out, the phone is new as mentioned, it did not come with earphones or the phones apple charger."
4488,I bought this for my uncle Ted to watch my dirty pictures for Christmas.
4489,Working great. Just like a new one.
4490,This phone is amazing i got the blue 64 gig unlocked and the phone is like brand new if you’re trying to make a decision go for it
4491,"iPhone arrived 2days ahead of schedulePerfect condition A+ on packaging1 charger1 power cord1 SIM card unlock tool1 256g blue iPhoneRecommended buy!,"
4492,My son said that it is a great phone.
4493,"Bastante decepcionado, la pantalla con muy baja calidad y por las orillas con muchos detalles"
4494,The phone was in really good condition just a few scratches but I love it !!
4495,Great product. Great condition!!
4496,"This product came in excellent condition! I was apprehensive, as I haven’t purchased a refurbished phone prior to this, but the iPhone was perfect! It runs well and there is no damage at all to the body. The speakers work great and it runs so well. This was an amazing purchase."
4497,This was bought as a gift so I have not used it myself. I have not received any complaints and if their had been any issues I would have been informed.  I chose this company because of competitive pricing.
4498,"I purchased this phone exactly six months ago, and the screen digitizer has already gone bad. The cost of fixing the issue isn’t much less than buying a new phone. After asking the seller for a refund or a replacement, I was told I’m beyond my 90 days and they will do nothing for me. For what I paid for this phone, I don’t understand why they do not stand behind it. If I had dropped it or broke it I could understand, but to just have a phone go bad for no reason? They should give me some sort of a replacement, prorate the cost toward a new phone, or do something. Instead, they said they will do nothing for me. I strongly recommend you do not buy products from this seller."
4499,Its like new 100% new just in a different boxNo scratches at all
4500,I bought my husband this phone & it died on him within a year. No screen cracks or water damage. It just suddenly started tweaking a lot & died.
4501,"The phone I received was not unlocked: I received it sufficiently charged to see that it was functioning, so I did not doubt it was unlocked. I brought it overseas as a gift fir a friend, but when it got eventually uncharged I was not able to turn it back on, as it required a passcode. I had to hire a tech guy and pay him $120 to hack into the phone and delete the passcode. Once that was done, all the information from its previous owner was still in the phone, including all the contacts, photos, etc. It took over an hour to delete all and restore the phone to factory settings. Since i was overseas for a couple of months I was not able to return it but I'm really frustrated that I had to pay an extra $120 to make it work"
4502,My lil brother loves it 🧡
4503,"great phone, better than expected, recomended."
4504,Phone came with battery health of 100%! That was the only thing I was worried about. Because Amazon Renewed only guaranteed “at least 80%”.Also there are no signs of cosmetic wear on my phone.
4505,Awesome! Love it!
4506,Screen is very easy to break so make sure you put it in a good phone case.
4507,Phone came water damage but nearly noticed it
4508,Do NOT buy this phone. I just received it today and while I was setting it up it completely glitched out and made a password that now I cannot get into the phone. This is a hacker. Definitely am returning this today. Really disappointing.
4509,Originally It Was Supposed To Come On The 8th (Which Is Monday). But It Came A Few Days Earlier Than I Had Expected It Too 😁
4510,"I got sprayed by the sprinklers and the phone was dead. Refurbished, but not very well done."
4511,"I've had this phone for 2 days and I've had nothing but issues. First one being that it didn't even come with an apple charger. The reviews I read before buying said it did. The charger works but it takes all day to charge and you can forget about using it while plugged in because the percentage goes down. There were scratches and chips on the outside of phone. The worst of it all is that I physically can't use it. I'm on my old phone typing this review, because my new phone is unusable. The touchscreen is off or something and it picks and chooses when it wants to work. I've had issues writing a simple text or going to my contacts and searching someone. Even trying to just enter my code. It jumps around and goes crazy like it has a mind of it's own. I've restarted it several times, made sure it didnt need an update (because it is a used phone) still nothing. I am very frustrated that I spent 500 dollars on a phone that simply doesnt work. Hopefully I have no problems returning it."
4512,Bigger size versus old phone. Touch screen.
4513,The battery 🔋 life it’s amazing ..... it came with a screen protector
4514,There are no visible scratches on it! It looks as if it was new. I've had it for 2 weeks and it works great and I had no problems. Definitely worth it
4515,"Awesome phone, I thought I would take a chance and buying it!!! Glad I took that chance because this phone is practically brand new and I love it!!!!"
4516,"The phone was great but now after a few months having trouble with ringer goes to silence every time I turn around, very frustrating and the volume isn't very  loud"
4517,"Sorry I'm late making this review.  The phone came in perfect condition.  I waited to see if there would be any late issues,there has not. I'm very satisfied with this purchase, I will purchase again in the future."
4518,"I like it, but it had many scratches on it."
4519,Love this thank you
4520,Second renewed phone I bought and both were great!!
4521,Looks New😍Hope next time there would be FREE 🎧
4522,It’s Perfect it can in really early and good quality
4523,Loved this almost brand new no problems great battery and screen would buy again!!
4524,Estoy muy contento con este teléfono. Todo anduvo perfecto y el estado es excelente. Superó mis expectativas realmente. Lo amo!
4525,Not too bad. Just minor scratch
4526,"My phone is in absolutely perfect condition. I debated buying the phone straight from Apple for some time because a few people had left negative reviews. However, I took the risk because of the price and am so glad I did. I've had it for over 2 weeks and everything works to a charm."
4527,Received my phone 2 days ago. So far so good. The phone is in excellent condition it looks new and works perfectly. The battery life is excellent as well. I’m so happy with my purchase.
4528,Was very pleased with this phone so easy to use
4529,It’s a phone cover
4530,I got the bar as a gift for my son and he says it’s the best phone he’s had so far After three months he is still saying thank you for the phone
4531,This phone is not at all a disappointment! It is absolutely perfect and works like a new phone. It came in an apple generated box which led me to believe it was brand new. No scratches or any setbacks. I recommend this phone to people who need good battery life and tons of features.
4532,Screen and phone came in perfect condition. Speakers are loud are work amazingly.
4533,"Absolutely Love this phone ! iPhone is Refurbished however it Looks like in new condition no problem at all , Love the Camera , doesn’t come with original charger"
4534,"The phone was in great condition as stated, really glad I ordered it . been using it a month now it’s going great"
4535,Had a minor scratch on the side but my otter box casing covers it so no big deal other than that everything works brilliantly. I’m happy!!😁
4536,I saw some bad reviews about ordering from them and people having cracked screens but mine came in on time and in very good condition it pretty much looks and acts brand new
4537,Definitely recommend this phone and the seller is top notch.
4538,Everything was near perfect except for the fact that there was no Face ID functionality or no portrait mode either.
4539,Came in 3 days early I love it the camera has wonderful quality and I’m happy that I decided to order it
4540,I really loved the color and it still works good.
4541,My daughter absolutely loves her new phone
4542,"Phone works like brand new it came in a nice box with brand new charger, also gave me a screen protecter for free"
4543,I’ve only had it for a few days but so far it has exceeded my expectations. It looks like new and it is a very responsive phone with a great camera.
4544,Very well worth the purchase my son was very pleased 😄
4545,Everything seems to be fully functional !
4546,So happy and in love with my new phone! I hadn’t upgraded in awhile and needed this phone so much! It lasts all day and is easy to use!
4547,"phone came in a quick 2 business days after ordering. easy setup, came with an original charger, no headphones though. i highly recommend. worth the money!"
4548,
4549,All around this is a great phone.
4550,This is the 3rd iPhone I have purchased from Chubbiestech and I would def only buy another from them! The phone looks new and works perfectly. Thank you!
4551,The touch screen lagged a little at first. Other than that no complaints
4552,Had no issues love the phone
4553,"Works great, just what I needed"
4554,The phone is perfect no scratches or cracks. Works great and activation was super simple.
4555,Would never known it was refurbished. No hassle to activate on Sprints network. Would def recommend
4556,"I got the red iPhone XR fully unlocked. And it was exactly that, phone looks brand new and all I had to do was pop in my SIM card and that was It."
4557,"This phone is great! When it arrived it looked good as new! I love my new phone, I really recommend this seller😃"
4558,Had one small crack on the back glass but it works great
4559,"Been using this phone for a month, I was a bit skeptical when buying but all in all the phone was basically new."
4560,"Was skeptical about buying renewed. Arrived in perfect condition, no complaints!"
4561,Great renewed iphone
4562,IPhone is in almost perfect condition. No visible scratches on the case or the screen. Battery health at 89%. My wife is very happy with the phone. No issues with buying from this vendor.
4563,I recomend getting this phone its good
4564,"Received few days early, so far works great!"
4565,I liked everything I got regular refurbished and everything is perfect no scratches or nothing
4566,"amazing condition nothing is wrong with it, i love it"
4567,"I-phone XR is in pristine condition, battery health is 95 percent, can’t tell it from a new one, works perfectly."
4568,Fast delivery. Everything works perfect. Phone like new.
4569,"The IPhone was amazing 100%battery life, perfect screen, unlocked was amazing perfect gift for my mom thanks"
4570,I was a little skeptical because of the bad reviews but i must say i am impressed. Phone looks brand new and everything works perfectly
4571,So great! Was scared it would be too good to be true but it’s perfect. Great quality not a single scratch. Also came very quickly.
4572,"I love this phone, I’ve been meaning to get it replaced for a while and I thought this was gonna be crappy and lag a lot but I’ve had 0 problems like that. It’s been a few months now and the phone is still going great."
4573,Great. Very pleased with my new phone.
4574,"Amazing phone ,fast shipping, highly recommend"
4575,My fav color. Great shape. Good quality
4576,"So happy I purchased, obviously a refurbished device but still worth every penny. Came in 2 days. Easy to transfer my Apple ID from my previous phone.  No complaints!"
4577,Came just as described and works like new !
4578,"The phone overall is in good condition, couple scuffs on the back but not crazy bad. However, the earpiece sounds pretty muffled when taking on the phone, it’s difficult to use unless turning on the speaker."
4579,"Love it! Like new , fully functional."
4580,Works AMAZING!! Totally would recommend!! We bought two and they work amazing
4581,"very good purchase, good phone condition"
4582,I had the 7 and just felt like I had to upgrade and the XR didn’t disappoint.
4583,Very pleased
4584,Great condition 🙏 I was a little worried about the box it came in because it said android so I freaked out but when I opened it it was the real xr
4585,I like that it was easy to set up at first I didn’t know how to use it but that was just because I wasn’t familiar with the type of phone but it is really nice I love it
4586,Highly recommended no scratches 100% battery health I love it !!!!
4587,Good condition and helped me in every way I needed they are awesome highly recommend them
4588,"Overall, very good for a used iPhone, great condition. Recommended."
4589,Phone is PERFECT! It literally looks brand new! And the battery was also brand new at 100% will definitely recommend thank you so much for a wonderful experience.
4590,"The charger that came with the phone, doesn’t work"
4591,Cell phone are vital to have
4592,"I upgraded from an SE, so this thing seems luxurious. Love the facial recognition and swiping instead of the home button."
4593,"Fast delivery. Product looks new, no dents, no scratches. It works well with sprint, I was able to swap my phone easily."
4594,I bought this phone recently and I was reading the reviews and was debating on getting it. But I’m glad I did I absolutely love this phone it’s amazing I highly recommend this phone
4595,I ❤️ This phone! Have not had any problems. Battery last pretty good. Not too small and not to big. Only thing I miss is my home button but I can live without it!
4596,I was skeptical but it works perfect
4597,So far so good
4598,It looks like bought it brand new out the apple store..everything is perfect 100% recommend
4599,"This is a joke and I can't return it because I bought it and moved to Mexico for 3 months. The battery is at 92% capacity, meaning it is not a new one. There are stains around the camera lens in the back, which can't be removed with anything I have tried, it's like sap. It has noticeable scratches and marks in several parts. This is a huge disappointment, I just assumed that Amazon Refurbished would be of high quality. What a joke."
4600,"Very nice phone, I’m a little disappointed with the camera quality for the amount paid."
4601,"I have just received my I phone XR and I love that  there were no visible scratches. This is a great product, you will not waste your money buying this phone."
4602,This is just like a brand new phone! My son loves it such a nice upgrade from the iPhone 7.
4603,Got a crack
4604,I love it it’s the first time I’ve upgraded since the iPhone 6. Definitely worth it if you have a tight budget.
4605,Works as described.
4606,Received mine today. iPhone works beautifully. Not a single scratch. Battery life came at 96%! All the hardware was checked out. When buying refurbished it’s either hit or miss. Thankfully I’ve had a lot of hits.
4607,"I use this produce for everyday purposes, I'm more then happy with my phone. It was truly unlocked iPhone, it also came 5-6days early...perfect and would buy again"
4608,Delivery was quick and phone is awesome
4609,"Great battery life, and easy to use"
4610,It works good so far.
4611,Came with scratches on front.
4612,Perfect phone. Its like I bought a new phone but way cheaper. Came with charger wish it came with headphones as well.
4613,"I couldn’t be more pleased!  Great phone, great price!"
4614,My daughter love it
4615,"Nice it looks brand new ,plus the best it will save you a couple hundred dollars will for sure recommend"
4616,Phone is as good as new!
4617,Perfect condition works perfectly fine
4618,The phone is amazing there was no problem getting the phone to connect with my server and the phone quality was amazing there were no cracks nor scratches.
4619,I’m so in love with my new phone!!!!!!
4620,Some functions were not working properly. E.g face recognition so I had to return the device.
4621,So far so good. Came well packed and on time.
4622,Fast shipping and works perfectly. Recommend seller.
4623,It’s amazing really at first was was hesitant at first but it’s so nice the camera works it looks like it’s brand new.
4624,"Reliable phone, great value for it's price. Came like new."
4625,I got the red one and omg I love it it came 4 days early and in perfect condition no scratches at all. Battery life is also long.
4626,"Ordered phone 4 months ago, worked perfectly fine for 3 months, and once 3 months window closed phone started acting up and as of today no longer works. Do not buy from this seller. They make devices work till they out of warranty"
4627,After eight months of use it was constantly turning off and on until we had to go to the apple store and get a new one. I’m not happy with this purchase.
4628,"You should’ve mentioned that it comes in crappy boxes, the gift was ruined"
4629,Battery is terrible and screen came scratched in a few areas. Do not recommend
4630,"Amazing iPhone, I love it so so much 💕. Would totally recommend 😉. I wish it was wrapped andsupplied better."
4631,works perfectly
4632,Looks and functions like a brand new phone I’m extremely satisfied.
4633,I was nervous at first but now that I have the phone I’m extremely pleased with it. It has a 100% battery life and doesn’t have a single scratch!!!
4634,So glad I decided to make this purchase. Literally a new phone with 100% battery life for my son. He loves it. No problems at all.
4635,Phone works well!!
4636,"I was skeptical of buying a used iPhone at first but I made a great choice! It works perfectly, as if it was a brand new phone. I would buy from this company again!"
4637,I was very skeptical about purchasing this phone on Amazon. But I’m glad I did. The phone is like new. Not one scratch. Works great. No complaints.The battery life is at 95% but that’s fine.
4638,"Screen was deeply scratched all over, So much for like new referb. Only thing I can say good is that it works."
4639,In pretty good shape. Battery came at 91% health. A couple of minor scratches as expected but other than that I highly recommend it.
4640,birthday gift for my granddaughter she loves it👍👍👍
4641,It just came late
4642,It came early and is just like new. Would order again. Than you
4643,Funcionado muy bien.
4644,Good refurbished iPhone
4645,Easy to switch over to my current number
4646,Touch screen is good.i like this phone very much.after purchase is works good
4647,Great product. Great quality
4648,"Yea I was also worried about ordering a phone from the internet, let alone refurbished. But it arrived in perfect condition, great phone, fully unlocked. No complaints. Great camera btw"
4649,The product was perfect their were no problems at all.
4650,The only problem with the phone is that it came with 89% battery health!
4651,"Phone came in perfect condition, no scratches or dents. I have been using it fully for 24 hours now and it works great!"
4652,It’s a brand new iPhone. Just as the seller described. I am more than satisfied with it and another one that I bought before. It’s worth it
4653,Good Quality Phone!!!!!!
4654,Great buy !! Even came with case and screen protector. Best purchase
4655,This is a very good phone everything works it came on time no marks or nothing I recommend you to buy it
4656,"My iphone xr is literally brand new from the looks of things, that battery capacity is amazing. I would recommend this to anyone looking for a good looking phone that performs well and doesnt cost as much as my college tuition."
4657,Arrived a day early!! This is my favorite iPhone so far!
4658,The phone didn't come in a box. It was just thrown in there! The charger was cheap and scratched. Don't waste your money.
4659,Thank you no scratches no dings just what I wanted !
4660,just a few scratches but works amazing
4661,Everything looks great. I have no issues with the devices.
4662,So far so good. This phone is in excellent shape and is working great on all levels. My son is super happy with the purchase and would recommend Amazon renewed products.
4663,Good replacement for kids
4664,"I was so scared that it would come in a bad condition, but it arrived very quickly and it looks just like it came from the store!!! No problems adding it to metro as well :D"
4665,was in great shape and works fine
4666,It’s not a scram but it isn’t all good and well either. It’s unlocked and came with a glass protector screen but mines came in with a few light scratches on the back; unnoticeable but a big dent/scratch on top of my phone. I wouldn’t recommend for any tho. Some ppl get good one some ppl don’t.
4667,Basically brand newYou can beat this value
4668,It’s perfect
4669,"Like new, has been 3 months with no issues"
4670,Very happy in all aspects !Even quick delivery at the holidays as this was a gift. Recipient of the gift tells me everyday what a great phone it is .
4671,Got it for my son and has been working fine.
4672,Good battery life
4673,Amazing performance and flawless look. Been enjoying it since the day I got it with no issues or problems.
4674,I got this phone in December (it’s almost May now) and it still works great! No scratches or issues with battery life. It works as it should!
4675,I like this phone a lot really enjoy the features and battery charges fast.
4676,Its good phone no scartch like brand new
4677,                    The media could not be loaded.                 This phone works great
4678,"iPhone XR works well, 100% battery life indicated, and in great physical condition.  Just like a new phone! Setup was easy as it was configured from an iPhone 8 Plus backup. Great deal!"
4679,Would definitely recommend! My phone came with a glass protector already on it. Not sure if they all do but I’m thankful mine did. It is T Mobile compatible 👍🏾
4680,It was very good my daughter loves it
4681,"Product was working ok, but didn’t receive the phones."
4682,I love this phone!!! It’s a lot better than my 6. Super long lasting battery life!! Easier touch screen better phone lock security!! And great camera quality!!!
4683,"Phone was in mint condition, but wasn't unlocked as described.  Seller providing full refund."
4684,"It was on a very good shape overall, good opportunity to buy a high end phone at a budget price"
4685,I didn’t really care for the charger that they included I wish it would of been the original one but other than that the phone as a whole is amazing it even seem new
4686,"Great product, quality and awesome service!"
4687,I like everything about this phone
4688,It is perfect
4689,"Muy bueno, sin ningún problema, funciona y esta libre de bloqueo!!"
4690,Great buy love this XR
4691,"I was doubting about buying this but..... to be honest, I was impressed because it looks like a new one! Great phone"
4692,"The phone came, looking and working  as totally and completely new"
4693,"Looks and operates like a new phone. As usual, no complaints from Amazon."
4694,Received exactly as stated
4695,"I like playing games on my phone, the bigger screen is good."
4696,Great phone! I have Total Wireless and all I had to do was throw my SIM card in and I was ready to go. Super pumped.
4697,My daughter love this phone
4698,El microfono de Alta voz dañado
4699,Other than the packaging it was a good buy
4700,Really good .
4701,The phone was in really good shape. Great quality and would recommend
4702,Phone works great and arrived quickly.
4703,This phone is awesome. The phone came in great condition looked brand new no scratches. I was very pleased with my purchase.
4704,Love the phone and quick shipping. Everything is great about the phone no problem easy to connect
4705,Just as advertised! Works like a charm!
4706,The size of the phone is amazing and It does come unlocked.
4707,I bought phone for my son and it is absolutely amazing. It works just like a new phone and was in excellent condition. No scratches or dents. just prefect
4708,I received the phone turn on the first time and it never turned on again
4709,Working great so far.  Just started using yesterday.  No problems.  Looks brand new
4710,"It's an iphone, enough said. Battery is horrible , hotspot doe Not work. Facial recognition seems to actually work, yes surprised. Camera seems to work. Operating system is Horrible. Crashes and is not easy to use."
4711,It was perfect no issues what so ever
4712,The phone looked practically new and even came with a charger and a screen protector applied.
4713,This was just like brand new. No scratches no glitches no anything. Only thing was it wasn’t in original box. That’s okay it is perfect condition!
4714,"The phone is amazing! Has everything I want, unfortunately had an issue with connecting with my carrier.Seller responded quickly and helped resolve our issue!"
4715,No problems . It works like new literally brand new .
4716,Cam in perfect condition
4717,The phone looks new no faults
4718,"Came flawless, no scratches or anything. Also came with a screen protector on it. 92% battery life. Great phone!"
4719,I loved the phone it was amazing it came so fast 5 days before the actual date I will order it all over again if I could 😃
4720,The phone is great but the speaker system not so much. You cannot hear the person you are on the phone with and if your watching a video or playing music the speakers sound like there about to explode and you can’t make out the words. I want to send it back for a replacement but I’ve already sold my old iPhone 7. If you could send me a replacement so I wouldn’t be without a phone for 2-4 weeks while waiting in the carrier to ship this one back and then bring a new one that would be awsome. I’m no thief so I can assure you you’d get this piece a junk back. If not. No sweat I’ll make it work but I’ll buy from someone else in the future. Thank you and god bless
4721,Worked perfectly
4722,This is not a scam! The phone is in amazing condition for (USED). Almost brand new would recommend this to anyone and buy with confidence.
4723,So happy with this phone
4724,"Came in pristine condition, I was checking around the phone and seen only 2 very minor scratches that are barely visible. Came with everything promised I’m satisfied."
4725,Everything works perfectly fine! It even came with a case
4726,"Good phone wish it was a bit cheaper but hey it’s still a good deal, the phone came looking as if brand new with a knock off charger no ear buds"
4727,"I was skeptical buying a new phone online and especially a renewed one, but it was worth it. The phone arrived a week early looking brand new and works perfectly. They were super nice and added an apple charger and a high quality screen protector for free. Thanks guys 👍"
4728,Definitely would recommend phone came in perfect shape but I see some post saying it does not come with earbuds it also says that in the description
4729,"The phone arrived as it shoudl. Very good quality, battery life is new. It has a little scratch on the screen and something weird on the screen but apart from that the phone is great. I totally recomend."
4730,Love my new phone it’s camera works okay. Volume is amazing. It was deliver on time I’m thankful.
4731,"I’ve never left a product review on amazon before, but based on all the negative reviews I felt I needed to share that I got a brand new phone for 200$ less than I would’ve on apple; no dents or scratches or imperfections whatsoever and battery capacity is 100%. Love it"
4732,"I love it! It didn't have any scratches or cracks, fully unlocked, although the charger isn't original it still works!"
4733,Phone is actually great and it came with a screen protector
4734,The iPhone was a gift to my son and he said thatThe charger wasn’t for that phone 📲.. didn’t work he said.
4735,Love my iPhone thank you
4736,Good
4737,It was fully unlocked and looks great if you are thinking about buying go for it
4738,I brought the phone for my grandson and he loved it.
4739,"Phone came faster than expected. Phone just as described like new, even came with a screen protector on. Easy swap with my current service provider. No issues. Thanks for the awesome service!"
4740,The phone was exactly as expected. Works great
4741,Like a new no...it was a new iphone!! 100% health batery!! Great product!!
4742,Works like expected. New condition. The vendor went out of their way to get it to me. Thank you
4743,
4744,Screen quality works very good
4745,It’s it great ! Nothing to dislike
4746,Clean phone with  no blemishes at all. Activated with ease.
4747,I’m very happy with my phone. Especially the price
4748,Face recognition does not work...very upset and don’t how to fix it!
4749,Looked new. Granddaughter loved it! Much better price than buying a new one.
4750,This phone came on time and was as promised (Unlocked). It says scratch and dent but there were little to no noticeable marks. It was exactly what I needed for my teenage son.
4751,Perfect my son loves it
4752,Absolutely love this phone! It’s basically brand new awesome condition even got to me 1 day early. Upgrading from a iPhone 6 and omg it’s a perfect upgrade! Thank you so much!
4753,"Do not get scammed like I did there is a reason these phones cost less than getting one from Apple.  They say the phone is unlocked which at first I thought meant there was no passcode, but I was mistaken.  My original SIM card is not compatible with the phone I received.  You are basically buying an IPod that you can't use without the internet.  I remember telling my sister I saved so much money from buying a ""Refurbished"" phone and she told me it was probably a scam in some way.  I should've listened, going to return this phone, hopefully they don't give me a hard time.  Sometimes things are too good to be true, lesson learned..."
4754,Phone works perfectly and came on time
4755,"I like this iPhone XR, great product for network."
4756,Perfect
4757,Too new to rate.
4758,Purchased phone In May of this year. Phone died December 24th. 7 months of use.  Motherboard issue.
4759,"Just received product for review but the phone itself appears to be in excellent condition, like brand new."
4760,Love it works great! Great quality perfect condition
4761,Great service fast delivery my iPhone XR came practically brand new as if I bought it out the store. I am very happy with my purchase! ☺️Thank you for a wonderful product!
4762,My daughter saved her money to buy a new phone. She couldn’t afford one from Verizon so we took a chance on amazon.  It was like brand new when it arrived.
4763,Excellent overall
4764,"I’m new to iPhone, although I have an iPad,so I am still learning the details with the phone! The set up was easy, and the phone is cool...so far so good! No complaints!"
4765,The phone was as expected. I was happy with the purchase!
4766,It was fully unlocked I loved it.
4767,I love the color and quality of the phone. The seller was quick with the shipment and I have no complaints about the phone.
